,make,model,year,mileage,fuel_type,engine_capacity,transmission,city,price
285,Hyundai,Santro,2007,"82,000 km",Petrol,1000 cc,Manual,Lahore,1270000.0
286,Toyota,Prius,2008,"100,000 km",Hybrid,1500 cc,Automatic,Bannu,2900000.0
287,Hyundai,Tucson,2024,"40,000 km",Petrol,2000 cc,Automatic,Islamabad,8750000.0
288,,,2018,"76,000 km",Petrol,1300 cc,Automatic,Faisalabad,3800000.0
289,Suzuki,Cultus,2009,"200,000 km",Petrol,1000 cc,Manual,Wah cantt,1285000.0
290,Mitsubishi,Pajero,2006,"80,000 km",Petrol,1100 cc,Manual,Lahore,1000000.0
291,Suzuki,Bolan,2012,"100,000 km",Petrol,800 cc,Manual,Faisalabad,980000.0
292,Suzuki,Cultus,2005,"99,203 km",Petrol,1000 cc,Manual,Gujrat,925000.0
293,Honda,City,2009,"116,500 km",Petrol,1300 cc,Automatic,Lahore,2750000.0
294,Honda,City,2004,"155,000 km",Petrol,1300 cc,Manual,Islamabad,1950000.0
295,Honda,Civic Rebirth,2014,"201,000 km",Petrol,1800 cc,Automatic,Lahore,3500000.0
296,Suzuki,Cultus,2016,"68,000 km",Petrol,1000 cc,Manual,Lahore,1650000.0
297,Suzuki,Alto,2019,"74,000 km",Petrol,660 cc,Automatic,Lahore,2500000.0
298,Suzuki,Wagon R,2022,"30,000 km",Petrol,1000 cc,Manual,Muzaffar Gargh,3050000.0
299,Toyota,Corolla,2017,"155,000 km",Petrol,1600 cc,Automatic,Mandi bahauddin,4300000.0
300,,,2023,"30,389 km",Petrol,1200 cc,Automatic,Islamabad,5500000.0
301,,,2021,"36,377 km",Petrol,660 cc,Automatic,Karachi,2550000.0
302,Toyota,Yaris Sedan,2021,"65,937 km",Petrol,1300 cc,Automatic,Lahore,4350000.0
303,Toyota,Land Cruiser,2008,"119,000 km",Petrol,4600 cc,Automatic,Lahore,18600000.0
304,Mercedes,Benz C Class,2012,"82,000 km",Petrol,1800 cc,Automatic,Lahore,7200000.0
305,Suzuki,Mehran,1999,"100,000 km",Petrol,800 cc,Manual,Islamabad,580000.0
306,Suzuki,Wagon R,2021,"66,570 km",Petrol,1000 cc,Manual,Sialkot,2795000.0
307,Daihatsu,Mira,2021,"4,000 km",Petrol,660 cc,Automatic,Islamabad,3700000.0
308,Honda,Civic Rebirth,2016,"152,263 km",Petrol,1800 cc,Automatic,Okara,3200000.0
309,Suzuki,Alto,2019,"62,000 km",Petrol,660 cc,Manual,Karachi,2190000.0
310,Suzuki,Alto,2024,"5,000 km",Petrol,660 cc,Automatic,Gujranwala,3055000.0
311,,,2021,"65,813 km",Petrol,1800 cc,Automatic,Multan,6350000.0
312,,,2021,"21,228 km",Petrol,660 cc,Automatic,Lahore,3550000.0
313,,,2018,"69,778 km",Petrol,796 cc,Manual,Lahore,1500000.0
314,,,2023,"45,603 km",Petrol,1200 cc,Automatic,Lahore,6600000.0
315,MG,HS,2023,"29,000 km",Petrol,1500 cc,Automatic,Lahore,7190000.0
316,Hyundai,Tucson,2024,"17,000 km",Petrol,2000 cc,Automatic,Lahore,8690000.0
317,,,2019,"36,498 km",Petrol,660 cc,Manual,Karachi,2400000.0
318,,,2005,"260,078 km",Petrol,1500 cc,Manual,Lahore,1350000.0
319,,,2021,"35,728 km",Hybrid,1800 cc,Automatic,Faisalabad,9200000.0
320,,,2023,"9,867 km",Petrol,3470 cc,Automatic,Lahore,16000000.0
321,,,2012,"169,993 km",Petrol,1500 cc,Automatic,Karachi,3400000.0
322,Suzuki,Swift,2020,"100,000 km",Petrol,1300 cc,Automatic,Islamabad,2880000.0
323,,,2018,"173,197 km",Hybrid,1500 cc,Automatic,Peshawar,5675000.0
324,Toyota,Corolla,2009,1 km,Petrol,1300 cc,Manual,Burewala,2100000.0
325,Toyota,Corolla Cross,2024,"7,500 km",Hybrid,1800 cc,Automatic,Islamabad,9400000.0
326,Suzuki,Cultus,2016,"70,000 km",Petrol,1000 cc,Manual,Karachi,1390000.0
327,,,2015,"123,850 km",Petrol,1300 cc,Automatic,Lahore,4000000.0
328,Toyota,Fortuner,2017,"130,000 km",Petrol,2700 cc,Automatic,Islamabad,10500000.0
329,Daihatsu,Cuore,2005,"22,960 km",Petrol,800 cc,Automatic,Lahore,1175000.0
330,Honda,Insight,2021,"11,000 km",Hybrid,1500 cc,Automatic,Islamabad,9800000.0
331,,,2012,"1,234 km",Petrol,1300 cc,Manual,Karachi,2250000.0
332,Toyota,Fortuner,2022,"34,000 km",Diesel,2800 cc,Automatic,Islamabad,16800000.0
333,Suzuki,Mehran,1992,"100,000 km",Petrol,800 cc,Manual,Lahore,420000.0
334,Haval,H6,2024,"10,000 km",Hybrid,1500 cc,Automatic,Islamabad,
335,Toyota,Vitz,2010,"83,000 km",Petrol,1000 cc,Automatic,Rawalpindi,2390000.0
336,Suzuki,Cultus,2012,"62,000 km",LPG,1000 cc,Manual,Sheikhupura,1400000.0
337,Toyota,Hilux,2021,"61,000 km",Diesel,2800 cc,Automatic,Islamabad,12600000.0
338,Suzuki,Bolan,2011,"100,000 km",Petrol,800 cc,Manual,Lahore,880000.0
339,Honda,Civic,2018,"68,000 km",Petrol,1000 cc,Manual,Islamabad,4150000.0
340,Toyota,Prado,2013,"145,000 km",Petrol,4000 cc,Automatic,Gojra,19000000.0
341,Mercedes,Benz C Class,2003,"175,000 km",Petrol,2000 cc,Automatic,Faisalabad,2800000.0
342,Hyundai,Sonata,2024,"26,000 km",Petrol,2500 cc,Automatic,Islamabad,11000000.0
343,Nissan,Note,2020,"105,000 km",Hybrid,1198 cc,Automatic,Karachi,5000000.0
344,Suzuki,Mehran,2015,"27,500 km",Petrol,800 cc,Manual,Lahore,1150000.0
345,Toyota,Corolla,2018,"130,000 km",Petrol,1600 cc,Automatic,Karachi,4300000.0
346,Honda,City,2002,"483,044 km",Petrol,1300 cc,Manual,Islamabad,1050000.0
347,Suzuki,Alto,2021,"21,000 km",Petrol,660 cc,Manual,Jhelum,2280000.0
348,Suzuki,Alto,2014,"140,000 km",Petrol,660 cc,Automatic,Islamabad,2390000.0
349,MG,HS,2025,15 km,Petrol,1500 cc,Automatic,Islamabad,
350,Nissan,Dayz,2021,"50,000 km",Hybrid,660 cc,Automatic,Lahore,3890000.0
351,,,2017,"54,434 km",Petrol,1600 cc,Automatic,Islamabad,4975000.0
352,,,2023,"21,076 km",Petrol,3500 cc,Automatic,Karachi,82500000.0
353,Honda,Civic,2018,"52,000 km",Petrol,1800 cc,Automatic,Peshawar,5400000.0
354,,,2014,"160,620 km",Hybrid,1500 cc,Automatic,Lahore,3600000.0
355,JAC,T9,2025,30 km,Diesel,2000 cc,Automatic,Lahore,12200000.0
356,JAC,T9,2025,30 km,Diesel,2000 cc,Automatic,Lahore,12300000.0
357,Haval,H6,2025,30 km,Hybrid,1500 cc,Automatic,Lahore,12400000.0
358,Toyota,Fortuner,2025,30 km,Diesel,2800 cc,Automatic,Lahore,21700000.0
359,Haval,H6,2025,30 km,Hybrid,1500 cc,Automatic,Lahore,12400000.0
360,Suzuki,Wagon R,2018,"89,000 km",Petrol,1000 cc,Manual,Lahore,2370000.0
361,KIA,Sportage,2021,"62,500 km",Petrol,2000 cc,Automatic,Gujranwala,6600000.0
362,Daihatsu,Cuore,2001,1 km,Petrol,800 cc,Manual,Pir mahal,695000.0
363,Toyota,Corolla,2018,"88,588 km",Petrol,1800 cc,Automatic,Islamabad,5450000.0
364,Honda,City,2021,"110,000 km",Petrol,1200 cc,Manual,Sahiwal,3679999.0
365,Suzuki,Baleno,2004,"999,999 km",Petrol,1300 cc,Manual,Lahore,840000.0
366,Hyundai,Santro,2008,"152,000 km",Petrol,1100 cc,Manual,Faisalabad,1235000.0
367,Toyota,Land Cruiser,1987,417 km,Petrol,3400 cc,Automatic,Lahore,5500000.0
368,Honda,Civic,2012,"140,000 km",Petrol,1800 cc,Automatic,Faisalabad,2650000.0
369,Hyundai,Santro,2007,"82,000 km",Petrol,1000 cc,Manual,Lahore,1270000.0
370,Toyota,Corolla,2018,"1,370 km",Petrol,1300 cc,Manual,Pasrur,3700000.0
371,,,2021,"65,813 km",Petrol,1800 cc,Automatic,Multan,6350000.0
372,,,2021,"21,228 km",Petrol,660 cc,Automatic,Lahore,3550000.0
373,,,2018,"69,778 km",Petrol,796 cc,Manual,Lahore,1500000.0
374,Suzuki,Cultus,2021,"120,000 km",Petrol,1000 cc,Manual,Islamabad,3250000.0
375,,,2023,"45,603 km",Petrol,1200 cc,Automatic,Lahore,6600000.0
376,Honda,City,2021,"26,000 km",Petrol,1300 cc,Manual,Islamabad,4050000.0
377,MG,HS,2023,"29,000 km",Petrol,1500 cc,Automatic,Lahore,7190000.0
378,Hyundai,Tucson,2024,"17,000 km",Petrol,2000 cc,Automatic,Lahore,8690000.0
379,,,2019,"36,498 km",Petrol,660 cc,Manual,Karachi,2400000.0
380,,,2005,"260,078 km",Petrol,1500 cc,Manual,Lahore,1350000.0
381,Suzuki,Mehran,2013,"700,000 km",Petrol,796 cc,Manual,Rawalpindi,1350000.0
382,,,2021,"35,728 km",Hybrid,1800 cc,Automatic,Faisalabad,9200000.0
383,,,2023,"9,867 km",Petrol,3470 cc,Automatic,Lahore,16000000.0
384,,,2012,"169,993 km",Petrol,1500 cc,Automatic,Karachi,3400000.0
385,Toyota,Corolla,2025,30 km,Petrol,1800 cc,Automatic,Lahore,8200000.0
386,MG,4,2024,30 km,Electric,510.0 kWh,Automatic,Lahore,9000000.0
387,Hyundai,Tucson,2022,"146,000 km",Petrol,2000 cc,Automatic,Lahore,7400000.0
388,Jetour,Dashing,2025,30 km,Petrol,1500 cc,Automatic,Lahore,9200000.0
389,Toyota,Yaris Sedan,2025,30 km,Petrol,1300 cc,Automatic,Lahore,5085000.0
390,Jetour,Dashing,2025,30 km,Petrol,1500 cc,Automatic,Lahore,9200000.0
391,Suzuki,Cultus,2021,"33,500 km",Petrol,1000 cc,Manual,Karachi,3235000.0
392,Toyota,Prado,2012,"112,000 km",Petrol,4000 cc,Automatic,Islamabad,21000000.0
393,Honda,Civic,2013,"160,000 km",Petrol,1800 cc,Automatic,Rawalpindi,2990000.0
394,,,2019,"72,000 km",Petrol,1500 cc,Automatic,Lahore,4375000.0
395,Toyota,Prado,2019,"59,220 km",Petrol,2700 cc,Automatic,Multan,29500000.0
396,,,2020,"59,389 km",Petrol,1300 cc,Automatic,Lahore,4200000.0
397,,,2012,"169,993 km",Petrol,1500 cc,Automatic,Karachi,3400000.0
398,Suzuki,Alto,2022,"100,000 km",Petrol,660 cc,Manual,Okara,2415000.0
399,Honda,Civic Reborn,2009,"140,000 km",Petrol,1800 cc,Automatic,Karachi,2390000.0
400,Honda,Acty,2010,"299,000 km",Petrol,1000 cc,Manual,Rawalpindi,1120000.0
401,Suzuki,Swift,2020,"100,000 km",Petrol,1300 cc,Automatic,Islamabad,2880000.0
402,Suzuki,Alto,2014,"140,000 km",Petrol,660 cc,Automatic,Islamabad,2390000.0
403,MG,HS,2025,15 km,Petrol,1500 cc,Automatic,Islamabad,
404,Toyota,Vitz,2010,"135,000 km",Petrol,1000 cc,Automatic,Karachi,2180000.0
405,KIA,Spectra,2001,"1,234 km",Petrol,1500 cc,Manual,Mardan,595000.0
406,Suzuki,Mehran,2012,"50,000 km",Petrol,800 cc,Manual,Lahore,750000.0
407,Honda,Civic,2021,"41,000 km",Petrol,1800 cc,Automatic,Gujrat,6475000.0
408,Suzuki,Mehran,2009,"80,000 km",Petrol,800 cc,Manual,Mian Channu,1250000.0
409,Honda,Accord,2006,"200,000 km",Petrol,2000 cc,Automatic,Peshawar,2600000.0
410,Nissan,Dayz,2021,"50,000 km",Hybrid,660 cc,Automatic,Lahore,3890000.0
411,Suzuki,Bolan,1997,"50,000 km",Petrol,800 cc,Manual,Karak,400000.0
412,Suzuki,Mehran,1989,"290,000 km",Petrol,800 cc,Manual,Lahore,290000.0
413,Honda,Civic 6th Generation,1998,"161,136 km",Petrol,1500 cc,Manual,Gujrat,1075000.0
414,Suzuki,Alto,2019,"82,000 km",Petrol,660 cc,Automatic,Faisalabad,2440000.0
415,Toyota,Corolla,2011,"157,000 km",Petrol,1300 cc,Manual,Multan,2370000.0
416,Toyota,Corolla,2019,"80,000 km",Petrol,1300 cc,Manual,Chawinda,4485000.0
417,,,2017,"54,434 km",Petrol,1600 cc,Automatic,Islamabad,4975000.0
418,,,2023,"21,076 km",Petrol,3500 cc,Automatic,Karachi,82500000.0
419,Suzuki,Cultus,2008,123 km,Petrol,1000 cc,Manual,Karachi,910000.0
420,Suzuki,Mehran,2014,"96,000 km",Petrol,796 cc,Manual,Lahore,1175000.0
421,Honda,Civic,2018,"52,000 km",Petrol,1800 cc,Automatic,Peshawar,5400000.0
422,Toyota,Passo,2019,"59,000 km",Petrol,1000 cc,Automatic,Karachi,3625000.0
423,Honda,Vezel,2015,"95,000 km",Hybrid,1500 cc,Automatic,Karachi,5000000.0
424,Toyota,Raize,2020,"58,000 km",Petrol,1000 cc,Automatic,Karachi,6000000.0
425,,,2018,"13,728 km",Petrol,1600 cc,Automatic,Karachi,4600000.0
426,,,2014,"92,836 km",Petrol,660 cc,Automatic,Karachi,2500000.0
427,Honda,Civic 11th Generation,2025,1 km,Petrol,1500 cc,Automatic,Lahore,10100000.0
428,Honda,City 6th Generation,2025,1 km,Petrol,1200 cc,Automatic,Lahore,4970000.0
429,Suzuki,Swift,2011,"150,000 km",Petrol,1300 cc,Manual,Islamabad,2175000.0
430,,,2013,"75,982 km",Petrol,660 cc,Automatic,Karachi,2300000.0
431,,,2017,"68,585 km",Hybrid,1500 cc,Automatic,Karachi,4700000.0
432,,,2009,"50,385 km",Petrol,800 cc,Manual,Karachi,1200000.0
433,Honda,City,2006,"177,771 km",Petrol,1300 cc,Manual,Islamabad,2250000.0
434,Honda,Fit,2017,"145,000 km",Hybrid,1500 cc,Automatic,Karachi,3500000.0
435,Daihatsu,Cuore,2011,"182,621 km",Petrol,800 cc,Manual,Mirpur khas,1250000.0
436,Suzuki,Alto,2020,"100,000 km",Petrol,660 cc,Manual,Hyderabad,1900000.0
437,Suzuki,Cultus,2006,"1,234 km",Petrol,1000 cc,Manual,Lahore,750000.0
438,Toyota,Sienta,2018,"97,000 km",Hybrid,1500 cc,Automatic,Peshawar,5300000.0
439,Daihatsu,Charade,1989,"100,000 km",Petrol,1000 cc,Manual,Karachi,229999.0
440,Hyundai,Santro,2003,"192,000 km",Petrol,1000 cc,Manual,Karachi,969999.0
441,Suzuki,Every,2024,"90,000 km",Petrol,660 cc,Manual,Lahore,2680000.0
442,Suzuki,Swift,2010,"189,000 km",Petrol,1300 cc,Manual,Rawalpindi,1750000.0
443,Nissan,Sunny,1985,"150,000 km",CNG,1000 cc,Manual,Taxila,650000.0
444,Toyota,Corolla,2003,"50,000 km",Petrol,1600 cc,Automatic,Bat khela,2250000.0
445,Honda,City,2000,"1,234 km",Petrol,1300 cc,Manual,Lahore,1190000.0
446,,,2006,"148,500 km",Petrol,1500 cc,Manual,Karachi,1550000.0
447,Toyota,Corolla,2009,"120,000 km",Petrol,1300 cc,Manual,Mansehra,2350000.0
448,,,2014,"160,620 km",Hybrid,1500 cc,Automatic,Lahore,3600000.0
449,Honda,City,2017,"96,000 km",Petrol,1300 cc,Manual,Lahore,3450000.0
450,Toyota,Corolla,2009,"11,000 km",Petrol,1300 cc,Manual,Faisalabad,2000000.0
451,Suzuki,Mehran,2013,"130,000 km",Petrol,796 cc,Manual,Lodhran,890000.0
452,Suzuki,Wagon R,2014,"92,000 km",Petrol,1000 cc,Manual,Bahawalpur,1775000.0
453,Suzuki,Margalla,1992,"1,234 km",Petrol,1300 cc,Manual,Dera ismail khan,475000.0
454,Honda,City,2016,"58,000 km",Petrol,1300 cc,Automatic,Lahore,3650000.0
455,Suzuki,Liana,2006,"12,345 km",Petrol,1300 cc,Manual,Faisalabad,1019999.0
456,Suzuki,Bolan,2020,"45,000 km",Petrol,800 cc,Manual,Faisalabad,1590000.0
457,Suzuki,Cultus,2017,"100,000 km",Petrol,1000 cc,Manual,Islamabad,2300000.0
458,Toyota,Corolla,2021,"48,000 km",Petrol,1800 cc,Automatic,Lahore,5750000.0
459,,,2022,"38,519 km",Petrol,1500 cc,Automatic,Karachi,3800000.0
460,Suzuki,Every Wagon,2019,"109,000 km",Petrol,600 cc,Automatic,Islamabad,3950000.0
461,Toyota,Aqua,2020,"68,000 km",Hybrid,1500 cc,Automatic,Lahore,5490000.0
462,,,2017,"58,078 km",Petrol,1800 cc,Automatic,Karachi,4600000.0
463,,,2007,"4,696 km",Petrol,800 cc,Manual,Karachi,600000.0
464,Daihatsu,Mira,2021,"5,330 km",Petrol,660 cc,Automatic,Lahore,3350000.0
465,Honda,Civic Rebirth,2012,"105,890 km",Petrol,1800 cc,Automatic,Islamabad,3400000.0
466,,,2021,"43,194 km",Petrol,1000 cc,Automatic,Karachi,4800000.0
467,Honda,Civic,2009,"80,000 km",Petrol,1800 cc,Automatic,Lahore,2230000.0
468,,,2016,"95,943 km",Petrol,660 cc,Automatic,Gujranwala,2100000.0
469,,,2014,"121,511 km",Petrol,660 cc,Automatic,Lahore,2500000.0
470,,,2009,"169,968 km",Petrol,1800 cc,Automatic,Islamabad,2300000.0
471,Suzuki,Cultus,2007,"100,000 km",Petrol,1000 cc,Manual,Karachi,869999.0
472,Honda,Vezel,2016,"98,500 km",Hybrid,1500 cc,Automatic,Rawalpindi,5500000.0
473,Suzuki,Swift,2017,"136,000 km",Petrol,1300 cc,Manual,Lahore,2365000.0
474,JAC,T9,2025,30 km,Diesel,2000 cc,Automatic,Lahore,12200000.0
475,JAC,T9,2025,30 km,Diesel,2000 cc,Automatic,Lahore,12300000.0
476,Haval,H6,2025,30 km,Hybrid,1500 cc,Automatic,Lahore,12400000.0
477,Suzuki,Mehran,2007,"320,000 km",Petrol,800 cc,Manual,Rawalpindi,690000.0
478,Suzuki,Mehran,2006,"39,000 km",Petrol,800 cc,Manual,Lahore,600000.0
479,Suzuki,Mehran,2012,"20,000 km",Petrol,800 cc,Manual,Peshawar,980000.0
480,Suzuki,Alto,2022,"34,900 km",Petrol,660 cc,Manual,Lahore,2390000.0
481,Honda,City,2008,"117,195 km",Petrol,1300 cc,Manual,Layyah,1825000.0
482,Toyota,Corolla,2006,"12,345 km",Petrol,1300 cc,Manual,Peshawar,1830000.0
483,Toyota,Fortuner,2025,30 km,Diesel,2800 cc,Automatic,Lahore,21700000.0
484,Haval,H6,2025,30 km,Hybrid,1500 cc,Automatic,Lahore,12400000.0
485,Toyota,Corolla,2025,30 km,Petrol,1800 cc,Automatic,Lahore,8200000.0
486,MG,4,2024,30 km,Electric,510.0 kWh,Automatic,Lahore,9000000.0
487,Hyundai,Tucson,2022,"146,000 km",Petrol,2000 cc,Automatic,Lahore,7400000.0
488,Jetour,Dashing,2025,30 km,Petrol,1500 cc,Automatic,Lahore,9200000.0
489,Honda,City,2006,"99,000 km",Petrol,1300 cc,Manual,Lahore,1450000.0
490,Toyota,Yaris Sedan,2025,30 km,Petrol,1300 cc,Automatic,Lahore,5085000.0
491,Jetour,Dashing,2025,30 km,Petrol,1500 cc,Automatic,Lahore,9200000.0
492,,,2005,"220,000 km",Petrol,1600 cc,Automatic,Peshawar,1720000.0
493,Suzuki,Khyber,1989,"150,000 km",CNG,1000 cc,Manual,Mardan,350000.0
494,Suzuki,Cultus,2002,"100,000 km",Petrol,1000 cc,Manual,Peshawar,780000.0
495,MG,HS,2021,"37,000 km",Petrol,1490 cc,Automatic,Lahore,6350000.0
496,,,2023,"28,741 km",Petrol,1500 cc,Automatic,Islamabad,9200000.0
497,,,2021,"20,174 km",Petrol,1000 cc,Manual,Multan,2400000.0
498,,,2007,"88,762 km",Petrol,1500 cc,Automatic,Lahore,3650000.0
499,,,2023,"2,759 km",Petrol,2000 cc,Automatic,Multan,10000000.0
500,,,2017,"93,201 km",Petrol,660 cc,Automatic,Karachi,3100000.0
501,,,2015,"94,413 km",Petrol,660 cc,Automatic,Karachi,2120000.0
502,Honda,N Wgn,2020,"24,231 km",Petrol,660 cc,Automatic,Lahore,3350000.0
503,Toyota,Land Cruiser,2013,"87,000 km",Petrol,4600 cc,Automatic,Lahore,29500000.0
504,Suzuki,Alto,2023,"10,000 km",Petrol,660 cc,Manual,Karachi,2650000.0
505,Suzuki,Wagon R,2021,"42,960 km",Petrol,1000 cc,Automatic,Khushab,3050000.0
506,,,2003,"150,000 km",Diesel,4200 cc,Automatic,Rawalpindi,8500000.0
507,Changan,Oshan X7,2025,"4,900 km",Petrol,1500 cc,Automatic,Islamabad,9200000.0
508,Toyota,Corolla,2018,"43,000 km",Petrol,1300 cc,Automatic,Sahiwal,4500000.0
509,Suzuki,Ravi,2018,"990,000 km",Petrol,800 cc,Manual,Islamabad,1280000.0
510,Daihatsu,Cuore,2003,"100,000 km",Petrol,800 cc,Manual,Islamabad,690000.0
511,Suzuki,Wagon R,2009,"100,000 km",Petrol,660 cc,Automatic,Sialkot,1825000.0
512,Suzuki,Mehran,1994,"66,666 km",Petrol,800 cc,Manual,Rawalpindi,365000.0
513,Suzuki,Cultus,2021,"33,500 km",Petrol,1000 cc,Manual,Karachi,3235000.0
514,Toyota,Corolla,2020,"90,000 km",Petrol,1300 cc,Manual,Kasur,3850000.0
515,Toyota,Corolla,2023,"100,000 km",Petrol,1800 cc,Automatic,Vehari,6100000.0
516,,,2014,"85,000 km",Petrol,1300 cc,Manual,Lahore,2650000.0
517,Honda,City,2004,"212,000 km",Petrol,1300 cc,Manual,Karachi,1650000.0
518,Suzuki,Mehran,1992,123 km,Petrol,800 cc,Manual,Fateh Jang,440000.0
519,Daihatsu,Cuore,2003,"99,900 km",Petrol,800 cc,Manual,Mirpur A.K.,670000.0
520,,,2004,1 km,Petrol,1500 cc,Manual,Lahore,1450000.0
521,Suzuki,Cultus,2002,"191,951 km",Petrol,1000 cc,Manual,Karachi,509999.0
522,Suzuki,Wagon R,2018,"90,000 km",Petrol,1000 cc,Manual,Sargodha,2390000.0
523,Toyota,Prado,2012,"112,000 km",Petrol,4000 cc,Automatic,Islamabad,21000000.0
524,Suzuki,Mehran,1991,"250,000 km",Petrol,800 cc,Manual,Lahore,400000.0
525,Suzuki,Alto,2012,"36,271 km",Petrol,1000 cc,Manual,Sialkot,1525000.0
526,Honda,Civic,2013,"160,000 km",Petrol,1800 cc,Automatic,Rawalpindi,2990000.0
527,,,2019,"72,000 km",Petrol,1500 cc,Automatic,Lahore,4375000.0
528,Suzuki,Mehran,1990,"90,000 km",Petrol,800 cc,Manual,Sialkot,335000.0
529,Toyota,Corolla,2015,"123,456 km",Petrol,1300 cc,Manual,Toba Tek Singh,3130000.0
530,Suzuki,Mehran,2015,"100,000 km",Petrol,796 cc,Manual,Hyderabad,969999.0
531,Toyota,Premio,2006,"109,000 km",Petrol,1500 cc,Automatic,Rawalpindi,4200000.0
532,Toyota,Corolla,2006,"12,345 km",Petrol,1300 cc,Manual,Rawalpindi,1585000.0
