,make,model,year,mileage,fuel_type,engine_capacity,transmission,city,price
68,Honda,Civic,1994,"221,000 km",Petrol,1500 cc,Manual,Lahore,1250000.0
69,Toyota,Corolla,1988,"278,000 km",Petrol,1500 cc,Manual,Islamabad,1000000.0
70,Toyota,Corolla,2019,"57,000 km",Petrol,1600 cc,Automatic,Islamabad,5150000.0
71,Toyota,Corolla,1988,"100,000 km",Diesel,1800 cc,Manual,Abbottabad,790000.0
72,,,2021,"49,366 km",Petrol,1500 cc,Automatic,Lahore,4300000.0
73,Suzuki,Mehran,2005,"100,000 km",Petrol,800 cc,Manual,Karachi,440000.0
74,Suzuki,Wagon R,2020,"56,200 km",Petrol,1000 cc,Manual,Chakwal,2740000.0
75,Toyota,Raize,2020,"30,000 km",Petrol,1000 cc,Automatic,Karachi,6275000.0
76,Suzuki,Mehran,2015,"50,000 km",Petrol,796 cc,Manual,Karachi,1050000.0
77,Nissan,Dayz,2021,"38,000 km",Petrol,660 cc,Automatic,Karachi,3550000.0
78,Nissan,Sunny,1992,"15,238 km",Petrol,1000 cc,Manual,Mansehra,850000.0
79,Honda,City,2009,"135,266 km",Petrol,1300 cc,Automatic,Lahore,2400000.0
80,Suzuki,Cultus,2007,"100,000 km",Petrol,1000 cc,Manual,Karachi,730000.0
81,Toyota,Corolla,2008,"150,000 km",Petrol,1600 cc,Automatic,Sialkot,2800000.0
82,Toyota,Corolla,2009,"100,000 km",Petrol,1300 cc,Manual,Gujrat,2360000.0
83,FAW,V2,2016,"160,000 km",Petrol,1300 cc,Manual,Nowshera cantt,1650000.0
84,Toyota,Land Cruiser,2021,"3,275 km",Petrol,4600 cc,Automatic,Karachi,39500000.0
85,Toyota,Yaris Sedan,2021,"37,000 km",Petrol,1500 cc,Automatic,Lahore,4690000.0
86,,,2017,"60,335 km",Petrol,1600 cc,Automatic,Lahore,4750000.0
87,Suzuki,Mehran,1996,"99,999 km",Petrol,800 cc,Manual,Karachi,350000.0
88,Honda,Civic,2022,"65,000 km",Petrol,1800 cc,Automatic,Islamabad,6650000.0
89,Mitsubishi,Ek Wagon,2022,"19,000 km",Petrol,660 cc,Automatic,Karachi,3400000.0
90,Toyota,Hiace,2005,"190,000 km",Petrol,2700 cc,Automatic,Karachi,3200000.0
91,Suzuki,Every,2012,"83,000 km",Petrol,660 cc,Automatic,Karachi,1700000.0
92,Toyota,Corolla,2016,"65,000 km",Petrol,1800 cc,Automatic,Karachi,4090000.0
93,Hyundai,Sonata,2022,"34,000 km",Petrol,2500 cc,Automatic,Islamabad,9080000.0
94,Nissan,Dayz,2021,"66,000 km",Hybrid,660 cc,Automatic,Gujranwala,3975000.0
95,Toyota,Corolla,2010,"266,262 km",Petrol,1300 cc,Manual,Faisalabad,2000000.0
96,Hyundai,Sonata,2024,"5,000 km",Petrol,2500 cc,Automatic,Islamabad,11399999.0
97,,,2025,100 km,Diesel,3000 cc,Automatic,Karachi,15000000.0
98,Haval,H6,2025,35 km,Hybrid,1500 cc,Automatic,Islamabad,12600000.0
99,MG,HS,2025,25 km,Hybrid,1500 cc,Automatic,Islamabad,10600000.0
100,BAIC,BJ40 Plus,2023,"15,000 km",Petrol,2000 cc,Automatic,Islamabad,9950000.0
101,Toyota,Corolla,2025,25 km,Petrol,1800 cc,Automatic,Islamabad,
102,Suzuki,Cultus,2019,"112,000 km",Petrol,1000 cc,Manual,Multan,2650000.0
103,Toyota,Land Cruiser,2017,"63,000 km",Petrol,4600 cc,Automatic,Islamabad,36000000.0
104,Daihatsu,Mira,2021,"54,000 km",Petrol,660 cc,Automatic,Karachi,3600000.0
105,Honda,City,2003,"123,456 km",Petrol,1300 cc,Automatic,Islamabad,1850000.0
106,Suzuki,Bolan,2019,"11,111 km",Petrol,800 cc,Manual,Shorkot,1600000.0
107,Suzuki,Mehran,2013,"79,872 km",Petrol,796 cc,Manual,Rawalpindi,1100000.0
108,Toyota,Corolla,2016,"50,000 km",Petrol,1300 cc,Automatic,Karachi,3600000.0
109,Honda,Civic,2021,"52,000 km",Petrol,1800 cc,Automatic,Lahore,6195000.0
110,,,2021,"51,705 km",Petrol,1000 cc,Automatic,Lahore,3600000.0
111,,,2013,"132,121 km",Petrol,1000 cc,Automatic,Lahore,3350000.0
112,,,2021,"64,152 km",Electric,60.0 kWh,Automatic,Lahore,18000000.0
113,,,2005,"98,554 km",Petrol,1800 cc,Automatic,Lahore,5200000.0
114,Suzuki,Mehran,2015,"50,000 km",Petrol,800 cc,Manual,Karachi,1060000.0
115,,,2012,"57,217 km",Petrol,1800 cc,Automatic,Karachi,2950000.0
116,Honda,N Wgn,2021,"20,000 km",Petrol,660 cc,Automatic,Lahore,3495000.0
117,Suzuki,Alto,2024,"22,000 km",Petrol,660 cc,Manual,Lahore,2700000.0
118,,,2022,"49,315 km",Petrol,2000 cc,Automatic,Faisalabad,6000000.0
119,,,2024,"3,877 km",Hybrid,1800 cc,Automatic,Lahore,9300000.0
120,,,2004,"212,935 km",Petrol,1300 cc,Manual,Lahore,1850000.0
121,Suzuki,Hustler,2021,"36,000 km",Hybrid,660 cc,Automatic,Lahore,3990000.0
122,,,2020,"28,373 km",Hybrid,1500 cc,Automatic,Karachi,8000000.0
123,Suzuki,Cultus,2004,"3,255 km",Petrol,1000 cc,Manual,Karachi,700000.0
124,Suzuki,Alto,2007,"124,501 km",Petrol,1000 cc,Manual,Lahore,680000.0
125,,,2020,"87,890 km",Petrol,2000 cc,Automatic,Lahore,7200000.0
126,,,2022,"37,002 km",Petrol,660 cc,Manual,Lahore,2450000.0
127,Toyota,Corolla,2016,"160,000 km",Petrol,1300 cc,Manual,Peshawar,3600000.0
128,Suzuki,Swift,2018,"87,000 km",Petrol,1300 cc,Manual,Rawalpindi,2750000.0
129,Deepal,L07,2025,35 km,Electric,66.8 kWh,Automatic,Islamabad,14000000.0
130,,,2021,"102,320 km",Petrol,1000 cc,Automatic,Rawalpindi,4300000.0
131,Toyota,Land Cruiser,2021,190 km,Petrol,4600 cc,Automatic,Islamabad,59500000.0
132,Honda,City,2006,"123,000 km",Petrol,1300 cc,Manual,Lahore,1889999.0
133,Hyundai,Tucson,2022,"77,000 km",Petrol,2000 cc,Automatic,Islamabad,7680000.0
134,Toyota,Land Cruiser,2019,"44,000 km",Petrol,4600 cc,Automatic,Islamabad,49500000.0
135,Hyundai,Sonata,2025,30 km,Petrol,2500 cc,Automatic,Islamabad,18000000.0
136,,,2013,"74,395 km",Hybrid,3000 cc,Automatic,Lahore,15900000.0
137,Toyota,Prado,2012,"119,000 km",Petrol,4000 cc,Automatic,Islamabad,16500000.0
138,Honda,Civic,2017,"88,000 km",Petrol,1500 cc,Automatic,Islamabad,5080000.0
139,Suzuki,Liana,2009,"84,000 km",Petrol,1300 cc,Manual,Lahore,1625000.0
140,,,2020,"45,000 km",Petrol,660 cc,Automatic,Karachi,3800000.0
141,Toyota,Corolla,2016,"65,000 km",Petrol,1800 cc,Automatic,Karachi,4090000.0
142,Suzuki,Wagon R,2018,"68,000 km",Petrol,1000 cc,Manual,Abbottabad,2350000.0
143,Suzuki,Mehran,1991,"99,999 km",Petrol,800 cc,Manual,Rawalpindi,300000.0
144,Suzuki,Liana,2007,"123,456 km",Petrol,1300 cc,Manual,Karachi,1075000.0
145,Suzuki,Cultus,2014,"65,000 km",Petrol,1000 cc,Manual,Lahore,1480000.0
146,Suzuki,Mehran,1992,"123,456 km",Petrol,800 cc,Manual,Rawalpindi,305000.0
147,Hyundai,Sonata,2022,"34,000 km",Petrol,2500 cc,Automatic,Islamabad,9080000.0
148,,,2000,"150,000 km",Petrol,1300 cc,Manual,Multan,150000.0
149,Toyota,Corolla,2024,"9,500 km",Petrol,1800 cc,Automatic,Karachi,7525000.0
150,FAW,V2,2017,"92,000 km",Petrol,1300 cc,Manual,Melsi,1630000.0
151,Nissan,Dayz,2021,"66,000 km",Hybrid,660 cc,Automatic,Gujranwala,3975000.0
152,Toyota,Vitz,2018,"92,000 km",Petrol,996 cc,Automatic,Lahore,3950000.0
153,Suzuki,Khyber,1994,"10,000 km",Petrol,1000 cc,Manual,Gujranwala,280000.0
154,Toyota,Corolla,2010,"266,262 km",Petrol,1300 cc,Manual,Faisalabad,2000000.0
155,Toyota,Raize,2021,"28,000 km",Petrol,1000 cc,Automatic,Faisalabad,6500000.0
156,Hyundai,Sonata,2024,"5,000 km",Petrol,2500 cc,Automatic,Islamabad,11399999.0
157,,,2025,100 km,Diesel,3000 cc,Automatic,Karachi,15000000.0
158,Haval,H6,2025,35 km,Hybrid,1500 cc,Automatic,Islamabad,12600000.0
159,MG,HS,2025,25 km,Hybrid,1500 cc,Automatic,Islamabad,10600000.0
160,Suzuki,Swift,2011,"250,000 km",Petrol,1300 cc,Manual,Karachi,1550000.0
161,BAIC,BJ40 Plus,2023,"15,000 km",Petrol,2000 cc,Automatic,Islamabad,9950000.0
162,Toyota,Corolla,2025,25 km,Petrol,1800 cc,Automatic,Islamabad,
163,Suzuki,Cultus,2019,"112,000 km",Petrol,1000 cc,Manual,Multan,2650000.0
164,Toyota,Land Cruiser,2017,"63,000 km",Petrol,4600 cc,Automatic,Islamabad,36000000.0
165,Hyundai,Tucson,2022,"1,500 km",Petrol,2000 cc,Automatic,Karachi,8200000.0
166,Honda,Civic,2020,"55,000 km",Petrol,1800 cc,Automatic,Multan,6200000.0
167,Daihatsu,Rocky,2019,"64,050 km",Petrol,1000 cc,Automatic,Multan,6250000.0
168,Mazda,RX8,2007,"70,000 km",Petrol,4300 cc,Automatic,Lahore,3700000.0
169,Toyota,Yaris Sedan,2022,80 km,Petrol,1500 cc,Automatic,Multan,5550000.0
170,BYD,Atto 3,2025,60 km,Electric,49.92 kWh,Automatic,Karachi,9650000.0
171,Suzuki,Alto,2025,10 km,Petrol,660 cc,Manual,Multan,2930000.0
172,,,2021,"27,444 km",Petrol,1500 cc,Automatic,Karachi,4400000.0
173,Suzuki,Bolan,2024,40 km,Petrol,800 cc,Manual,Multan,2180000.0
174,Nissan,Patrol,2012,"93,000 km",Petrol,5600 cc,Automatic,Karachi,
175,,,2012,"159,824 km",Petrol,660 cc,Automatic,Islamabad,2375000.0
176,Suzuki,Alto,2025,25 km,Petrol,660 cc,Automatic,Multan,3229999.0
177,Daihatsu,Move,2012,"145,000 km",Petrol,660 cc,Automatic,Islamabad,1995000.0
178,Deepal,L07,2025,35 km,Electric,66.8 kWh,Automatic,Islamabad,14000000.0
179,,,2021,"102,320 km",Petrol,1000 cc,Automatic,Rawalpindi,4300000.0
180,Toyota,Land Cruiser,2021,190 km,Petrol,4600 cc,Automatic,Islamabad,59500000.0
181,Honda,City,2006,"123,000 km",Petrol,1300 cc,Manual,Lahore,1889999.0
182,Hyundai,Tucson,2022,"77,000 km",Petrol,2000 cc,Automatic,Islamabad,7680000.0
183,Toyota,Land Cruiser,2019,"44,000 km",Petrol,4600 cc,Automatic,Islamabad,49500000.0
184,Hyundai,Sonata,2025,30 km,Petrol,2500 cc,Automatic,Islamabad,18000000.0
185,,,2013,"74,395 km",Hybrid,3000 cc,Automatic,Lahore,15900000.0
186,Toyota,Prado,2012,"119,000 km",Petrol,4000 cc,Automatic,Islamabad,16500000.0
187,Suzuki,Alto,2011,"9,300 km",Petrol,1000 cc,Manual,Lahore,1130000.0
188,Chevrolet,Colorado,2004,"123,456 km",Petrol,800 cc,Manual,Lahore,650000.0
189,Honda,Civic,2017,"88,000 km",Petrol,1500 cc,Automatic,Islamabad,5080000.0
